"name","authority","type","url","priority","source_category","sector","geographic_scope","department","municipality","coverage"
"SUIN-Juriscol","Ministerio de Justicia / SUIN-Juriscol","Normativa/Jurisprudencia","https://www.suin-juriscol.gov.co/legislacion/derechoambiental.html","1","","","Nacional","","","Normativa y jurisprudencia ambiental"
"Ministerio de Ambiente - Normativa","Ministerio de Ambiente y Desarrollo Sostenible","Normativa","https://www.minambiente.gov.co/normativa/","1","","","Nacional","","","Leyes, decretos, resoluciones, autos, circulares y conceptos"
"ANLA - Normas ambientales","Autoridad Nacional de Licencias Ambientales - ANLA","Normativa","https://www.anla.gov.co/01_anla/37-normatividad/normas-ambientales","1","","","Nacional","","","Normativa ambiental y licenciamiento"
"Corte Constitucional - Relatoría","Corte Constitucional","Jurisprudencia","https://www.corteconstitucional.gov.co/relatoria/","1","","","Nacional","","","Sentencias y autos constitucionales"
"Consejo de Estado","Consejo de Estado","Jurisprudencia","https://www.consejodeestado.gov.co/","1","","","Nacional","","","Jurisprudencia contencioso-administrativa"
"Ministerio de Ambiente - Políticas Públicas Ambientales","Ministerio de Ambiente y Desarrollo Sostenible","Políticas","https://www.minambiente.gov.co/planeacion-y-seguimiento/politicas-publicas-ambientales/","1","","","Nacional","","","Políticas públicas ambientales nacionales"
"Ministerio de Ambiente - Planes Estratégicos","Ministerio de Ambiente y Desarrollo Sostenible","Planes","https://www.minambiente.gov.co/planeacion-y-seguimiento/planes-estrategicos/","1","","","Nacional","","","Planes estratégicos sectoriales e institucionales"
"Ministerio de Ambiente - Plan Estratégico Sectorial","Ministerio de Ambiente y Desarrollo Sostenible","Planes","https://www.minambiente.gov.co/planeacion-y-seguimiento/plan-estrategico-sectorial/","1","","","Nacional","","","Plan Estratégico Sector Ambiente y seguimiento"
"DNP - Plan Nacional de Desarrollo","Departamento Nacional de Planeación - DNP","Planes/Política","https://www.dnp.gov.co/plan-nacional-desarrollo/pnd-2022-2026/Paginas/default.aspx","1","","","Nacional","","","Plan Nacional de Desarrollo, bases, anexos y documentos sectoriales"
"DNP - Repositorio CONPES","Departamento Nacional de Planeación - DNP","Políticas/CONPES","https://colaboracion.dnp.gov.co/biblioteca/repositorio/lists/libro/allitems.aspx","1","","","Nacional","","","Documentos CONPES y políticas públicas"
"IDEAM - Publicaciones técnicas","Instituto de Hidrología, Meteorología y Estudios Ambientales - IDEAM","Técnica","https://www.ideam.gov.co/sala-de-prensa/publicaciones","1","","","Nacional","","","Protocolos, metodologías, lineamientos y publicaciones técnicas ambientales"
"MinVivienda - POT","Ministerio de Vivienda, Ciudad y Territorio","Ordenamiento territorial","https://minvivienda.gov.co/viceministerio-de-vivienda/espacio-urbano-y-territorial/plan-ordenamiento-territorial/pot","1","","","Nacional/Municipal","","","Marco, etapas y herramientas para POT/PBOT/EOT"
